"task_id","phase","task_content","progress","detection_standard","verification_command","target_files","updated_at"
"VC-001","dependency-startup","Add sqlite-vec dependency and register it on startup for the bundled SQLite connection.","done","Startup must fail clearly if sqlite-vec is unavailable; vec_version() self-check must pass before the worker starts.","cargo test --test sqlite_executor sqlite_vec_is_available","Cargo.toml; Cargo.lock; src/sqlite.rs; tests/sqlite_executor.rs","2026-06-13"
"VC-002","executor-api","Extend the SQLite executor with typed vector jobs while preserving serialized execution and existing execute_sql behavior.","done","execute_sql tests must still pass; vector jobs must use the same worker thread, timeout handling, and readonly config.","cargo test --test sqlite_executor","src/sqlite.rs; src/error.rs; tests/sqlite_executor.rs","2026-06-13"
"VC-003","types","Add vector request and response structs for collection creation, upsert, search, delete, and drop responses.","done","Serde schema generation must expose required fields and JSON responses must include success, optional error, and elapsed_ms.","cargo test --test mcp_http mcp_lists_execute_sql_and_vector_tools","src/response.rs; src/mcp.rs; tests/mcp_http.rs","2026-06-13"
"VC-004","validation","Implement collection name, dimension, vector, metadata, filter, id, and top_k validation.","done","Invalid names, __ prefix, zero dimensions, empty ids, dimension mismatch, non-finite values, non-object metadata, non-object filter, unsupported filter values, and top_k greater than max_top_k must return stable JSON errors.","cargo test --test vector_collections validation_rejects_invalid_inputs","src/vector.rs; tests/vector_collections.rs","2026-06-13"
"VC-005","registry","Create and maintain __vector_collections registry metadata.","done","Registry table must be created on demand; created_at must be UTC ISO-8601 text; registry rows must match table names, dimension, and cosine metric.","cargo test --test vector_collections create_collection_writes_registry","src/vector.rs; tests/vector_collections.rs","2026-06-13"
"VC-006","create-tool","Implement create_vector_collection with idempotent same-dimension behavior.","done","First call must create vec_<collection>; repeated same-dimension call must return created=false; repeated different-dimension call must fail without changing the existing collection.","cargo test --test vector_collections create_collection_is_idempotent_for_same_dimension","src/vector.rs; src/mcp.rs; tests/vector_collections.rs","2026-06-13"
"VC-007","upsert-tool","Implement covering upsert_vectors for batch vector writes.","done","Batch must be atomic; existing id must replace vector, text, and metadata; missing text becomes NULL; missing metadata becomes {}; any invalid item must roll back the whole batch.","cargo test --test vector_collections upsert_vectors_replaces_existing_records","src/vector.rs; src/mcp.rs; tests/vector_collections.rs","2026-06-13"
"VC-008","search-unfiltered","Implement unfiltered search_vectors using sqlite-vec KNN query.","done","Search must order by cosine distance, respect top_k, return id, distance, text, metadata, and never return the stored vector field.","cargo test --test vector_collections search_vectors_returns_top_k_without_vectors","src/vector.rs; src/mcp.rs; tests/vector_collections.rs","2026-06-13"
"VC-009","search-filtered","Implement simple JSON metadata equality filtering for search_vectors.","done","Filter must match only top-level simple keys with scalar values; comparisons must be type-sensitive; filtered results must be correctly ranked by cosine distance; performance is not required to match unfiltered KNN.","cargo test --test vector_collections search_vectors_filters_metadata","src/vector.rs; tests/vector_collections.rs","2026-06-13"
"VC-010","delete-tool","Implement delete_vectors for batch id deletion.","done","Deleting existing and missing ids must succeed; response must report requested_count and deleted_count; operation must reject in readonly mode.","cargo test --test vector_collections delete_vectors_reports_requested_and_deleted_counts","src/vector.rs; src/mcp.rs; tests/vector_collections.rs","2026-06-13"
"VC-011","drop-tool","Implement drop_vector_collection and expose it in tools/list.","done","Drop must remove the vec0 table and registry row; missing collection must return success with existed=false; operation must reject in readonly mode.","cargo test --test vector_collections drop_vector_collection_removes_table_and_registry","src/vector.rs; src/mcp.rs; tests/vector_collections.rs","2026-06-13"
"VC-012","readonly","Enforce readonly mode across all vector tools.","done","search_vectors must work in readonly mode; create, upsert, delete, and drop must return readonly errors without modifying the database.","cargo test --test vector_collections readonly_allows_search_and_rejects_vector_writes","src/vector.rs; src/sqlite.rs; tests/vector_collections.rs","2026-06-13"
"VC-013","mcp-http","Wire all five vector tools into the MCP server.","done","tools/list must return execute_sql plus create_vector_collection, upsert_vectors, search_vectors, delete_vectors, and drop_vector_collection; tools/call must return JSON text for each vector tool.","cargo test --test mcp_http mcp_lists_execute_sql_and_vector_tools","src/mcp.rs; tests/mcp_http.rs","2026-06-13"
"VC-014","sql-compat","Verify direct execute_sql compatibility with vector collection tables.","done","After creating and upserting through vector tools, execute_sql must be able to inspect __vector_collections and query vec_<collection> rows directly.","cargo test --test vector_collections execute_sql_can_query_vector_collection_tables","src/sqlite.rs; src/vector.rs; tests/vector_collections.rs","2026-06-13"
"VC-015","docs","Document vector setup, tools, examples, readonly behavior, and filtered-search performance limits.","done","README must show create, upsert, search, delete, drop, execute_sql inspection examples, and note that filtered search is correct but not KNN-optimized in the first version.","rg -n ""create_vector_collection|upsert_vectors|search_vectors|delete_vectors|drop_vector_collection|filtered search"" README.md","README.md","2026-06-13"
"VC-016","full-verification","Run full formatting, lint-equivalent checks, and tests after implementation.","done","The final implementation must be formatted, compile cleanly, and pass the complete test suite.","cargo fmt --check && cargo test","Cargo.toml; Cargo.lock; src; tests; README.md","2026-06-13"
